15: Received "HTTP/1.1 200 OK" from Apache
15: "GET http://www.csm-testcenter.org/test HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:08 2019

15: Responding "HTTP/1.1 200 OK"
8: "CONNECT www.nowcoder.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:13 2019

11: "CONNECT www.nowcoder.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:13 2019

9: "CONNECT www.nowcoder.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:13 2019

12: "CONNECT www.nowcoder.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:13 2019

10: "CONNECT www.nowcoder.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:13 2019

21: "CONNECT outlook.office365.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:17 2019

24: "CONNECT outlook.office365.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:17 2019

23: "CONNECT outlook.office365.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:17 2019

30: "CONNECT www.baidu.com:443 HTTP/1.1" from 10.197.192.6 @ Fri Mar  1 02:01:22 2019

